id;nome;cpf;email;telefone
1;holistic Architect;blue Rubber;Ryan_Osinski58@hotmail.com;bricks-and-clicks
2;Handcrafted payment;Principal Run invoice;Constantin5@hotmail.com;Checking Account Checking Account
3;Buckinghamshire neural-net back-end;Customer;Brenna_Christiansen@yahoo.com;XSS
4;Metal Pataca;Consultant Direct index;Adah.Abbott91@hotmail.com;International
5;synthesize Licensed Fresh Towels;Research Handcrafted;Dan48@yahoo.com;Norway
6;Italy;archive;Carter99@yahoo.com;back up hybrid
7;Borders;Front-line cultivate Burkina Faso;Savannah_Kirlin@gmail.com;innovative
8;Rustic Metal Keyboard;Berkshire;Chance.Rolfson76@hotmail.com;withdrawal invoice
9;generating;Tools Principal;Kyleigh_Rippin37@gmail.com;Avon Electronics
10;Electronics;compelling;Jessica.Rice@yahoo.com;Mouse Operations solution
